code,name,population,area,type,level,lat,lon
31203,Ernstbrunn,3006,80.7078,Gemeinde,6,48.53,16.36
31204,Großmugl,1556,64.5046,Gemeinde,6,48.5,16.23
31205,Großrußbach,2022,32.7432,Gemeinde,6,48.47,16.42
31206,Hagenbrunn,1712,13.4911,Gemeinde,6,48.33,16.41
31207,Harmannsdorf,3601,55.5359,Gemeinde,6,48.38,16.37
31208,Hausleiten,3251,61.0337,Gemeinde,6,48.38,16.1
31213,Korneuburg,11690,9.7157,Gemeinde,6,48.42,16.3
31214,Langenzersdorf,7524,10.6853,Gemeinde,6,48.3,16.35
31215,Leitzersdorf,1155,27.8742,Gemeinde,6,48.42,16.23
31216,Leobendorf,4526,29.9714,Gemeinde,6,48.38,16.32
31224,Rußbach,1345,30.6407,Gemeinde,6,48.46,16.05
31226,Sierndorf,3338,55.0817,Gemeinde,6,48.42,16.15
31227,Spillern,1886,12.6984,Gemeinde,6,48.38,16.25
31228,Stetteldorf am Wagram,991,25.7491,Gemeinde,6,48.4,16.02
31229,Stetten,1181,7.7331,Gemeinde,6,48.37,16.38
31230,Stockerau,14800,37.4071,Gemeinde,6,48.39,16.21
31234,Niederhollabrunn,1513,50.3567,Gemeinde,6,48.45,16.3
31301,Aggsbach,674,13.7183,Gemeinde,6,48.32,15.4
31302,Albrechtsberg an der Großen Krems,1068,28.731,Gemeinde,6,48.46,15.37
31303,Bergern im Dunkelsteinerwald,1236,36.5339,Gemeinde,6,48.37,15.55
31304,Dürnstein,906,16.8119,Gemeinde,6,48.38,15.52
31308,Grafenegg,2923,28.547,Gemeinde,6,48.42,15.73
31309,Furth bei Göttweig,2731,12.3863,Gemeinde,6,48.37,15.6
31310,Gedersdorf,2103,18.8731,Gemeinde,6,48.43,15.69
31311,Gföhl,3774,80.7221,Gemeinde,6,48.52,15.48
31315,Hadersdorf-Kammern,1960,4.7954,Gemeinde,6,48.46,15.72
31319,Jaidhof,1138,44.9302,Gemeinde,6,48.53,15.48
31321,Krumau am Kamp,792,26.8369,Gemeinde,6,48.58,15.43
31322,Langenlois,7039,67.1142,Gemeinde,6,48.47,15.67
31323,Lengenfeld,1423,15.0163,Gemeinde,6,48.47,15.6
31324,Lichtenau im Waldviertel,2050,58.3985,Gemeinde,6,48.5,15.39
31326,Maria Laach am Jauerling,953,36.4472,Gemeinde,6,48.3,15.34
31327,Mautern an der Donau,3280,9.1454,Gemeinde,6,48.39,15.58
31330,Mühldorf,1442,28.4591,Gemeinde,6,48.37,15.35
31333,Paudorf,2349,30.1012,Gemeinde,6,48.35,15.62
31336,Rastenfeld,1368,47.6241,Gemeinde,6,48.57,15.32
31337,Rohrendorf bei Krems,1737,9.7767,Gemeinde,6,48.42,15.65
31338,Rossatz-Arnsdorf,1189,39.0362,Gemeinde,6,48.37,15.46
31340,Sankt Leonhard am Hornerwald,1209,51.5863,Gemeinde,6,48.6,15.53
31343,Senftenberg,1935,34.7638,Gemeinde,6,48.43,15.55
31344,Spitz,1712,23.8215,Gemeinde,6,48.35,15.42
31346,Straß im Straßertale,1499,22.4943,Gemeinde,6,48.47,15.73
31347,Stratzing,805,5.8435,Gemeinde,6,48.45,15.6
